PRODUCT_ID |PRODUCT_NAME                                                                                                                                                                                                                                                   |DESCRIPTION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |STANDARD_COST|LIST_PRICE |CATEGORY_ID
         80|Intel Xeon E5-1650 V3                                                                                                                                                                                                                                          |Speed:3.5GHz,Cores:6,TDP:140W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |       399.00|     564.00|          1
         81|Intel Xeon E5-2650 V4                                                                                                                                                                                                                                          |Speed:2.2GHz,Cores:12,TDP:105W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       945.00|    1099.00|          1
         82|Intel Core i7-6950X                                                                                                                                                                                                                                            |Speed:3.0GHz,Cores:10,TDP:140W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      1052.00|    1499.00|          1
         83|Asus STRIX-GTX1080TI-O11G-GAMING                                                                                                                                                                                                                               |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       691.00|     829.00|          2
         84|Asus X99-DELUXE/U3.1                                                                                                                                                                                                                                           |CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |       332.00|     440.00|          4
         85|Intel Xeon E5-2660 V3 (OEM/Tray)                                                                                                                                                                                                                               |Speed:2.6GHz,Cores:10,TDP:105W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |       902.00|    1274.00|          1
         86|MSI GTX 1080 TI SEA HAWK X                                                                                                                                                                                                                                     |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       691.00|     804.00|          2
         87|PNY VCGGTX1080T11XGPB-OC                                                                                                                                                                                                                                       |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       600.00|     759.00|          2
         88|Gigabyte GV-N98TWF3OC-6GD                                                                                                                                                                                                                                      |Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |       633.00|     749.00|          2
         89|PNY VCGGTX780T3XPB-OC                                                                                                                                                                                                                                          |Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |       592.00|     749.00|          2
         90|EVGA 11G-P4-6696-KR                                                                                                                                                                                                                                            |Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |       594.00|     759.00|          2
         91|Intel Xeon E5-2695 V2                                                                                                                                                                                                                                          |Speed:2.4GHz,Cores:12,TDP:115W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      1793.00|    2259.00|          1
         92|Intel Xeon E5-2643 V2 (OEM/Tray)                                                                                                                                                                                                                               |Speed:3.5GHz,Cores:6,TDP:130W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |      1940.00|    2200.00|          1
         93|Intel Xeon E5-2690 (OEM/Tray)                                                                                                                                                                                                                                  |Speed:2.9GHz,Cores:8,TDP:135W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |      1888.00|    2116.00|          1
         94|Western Digital WD2500AVVS                                                                                                                                                                                                                                     |Series:AV-GP,Type:5400RPM,Capacity:250GB,Cache:8MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |        12.00|      15.00|          5
         95|Western Digital WDS256G1X0C                                                                                                                                                                                                                                    |Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |        85.00|     109.00|          5
         96|SanDisk SDSSDHII-480G-G25                                                                                                                                                                                                                                      |Series:Ultra II,Type:SSD,Capacity:480GB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |       102.00|     141.00|          5
         97|Kingston SV300S37A/120G                                                                                                                                                                                                                                        |Series:SSDNow V300 Series,Type:SSD,Capacity:120GB,Cache:N/A                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |        45.00|      59.00|          5
         98|Intel Xeon E5-2687W V3                                                                                                                                                                                                                                         |Speed:3.1GHz,Cores:10,TDP:160W                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |      1781.00|    2064.00|          1
         99|Seagate ST1000DX002                                                                                                                                                                                                                                            |Series:FireCuda,Type:Hybrid,Capacity:1TB,Cache:64MB                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |        55.00|      68.00|          5
